Table_Name,Num_Columns,Num_PKs,Table_Type,Num_Numeric,Num_Text,Num_Date,Pct_Numeric,Pct_Text,Pct_Date,PK_Ratio,Has_Code_Prefix,Has_Measure_Prefix,Num_Key_Like,Num_Measure_Like
CODE_PORT_INCD_FICB,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_POS_AVNT_MEDT_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_POS_CAIS_AQRL,4,3,0,0,4,0,0.0,1.0,0.0,0.75,1,0,3,0
CODE_POS_ETAB_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_PRFL_CLNT_TOC,21,4,0,3,14,4,0.14285714285714285,0.6666666666666666,0.19047619047619047,0.19047619047619047,1,0,13,0
CODE_PRMT_TOC,13,3,0,3,10,0,0.23076923076923078,0.7692307692307693,0.0,0.23076923076923078,1,0,9,0
CODE_PROC_JUDC_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_PROV_RECL_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_PRST_TARF,10,2,0,1,9,0,0.1,0.9,0.0,0.2,1,0,8,0
CODE_RECL_CRTN_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_RECL_TRT_SALS,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_RECP_AQRL,3,2,0,0,3,0,0.0,1.0,0.0,0.6666666666666666,1,0,2,0
CODE_REGL_ASPR,14,8,0,0,11,3,0.0,0.7857142857142857,0.21428571428571427,0.5714285714285714,1,0,12,0
CODE_REGL_PRPG,15,9,0,0,12,3,0.0,0.8,0.2,0.6,1,0,13,0
CODE_REJT_ALLER_BDF,6,4,0,0,6,0,0.0,1.0,0.0,0.6666666666666666,1,0,5,0
CODE_REJT_RETR_BDF,6,4,0,0,6,0,0.0,1.0,0.0,0.6666666666666666,1,0,5,0
CODE_SEGM_BAFI,5,2,0,0,5,0,0.0,1.0,0.0,0.4,1,0,4,0
